Station	VSCIAll
3-BLU000.54	60.175
3-BRK001.97	32.14413123
3-BUC003.26	56.42361936
3-CAE001.45	68.96
3-CAE012.67	66.425
3-CRC001.38	42.78598762
3-FIK001.03	67.4014
3-HAL002.72	32.09
3-HAZ035.32	73.8
3-HUH001.19	26.95628076
3-JOA002.68	39.08049413
3-LIA003.14	43.57
3-MIC008.55	42.72080382
3-MTN003.31	49.55747253
3-MTN018.83	24.25
3-PBC005.12	15.8967343
3-RAP008.71	64.88150997
3-RAP015.25	69.19
3-RAP028.98	71.53454558
3-RAP053.02	74.905
3-ROB004.98	71.12235148
3-ROB005.42	65.83232934
3-RPP148.18	69.22616288
3-RPP150.20	77.875
3-SUM003.88	60.3519858
3-THU006.90	66.6831679
3-WAE005.95	14.15835219
3-WAF000.03	48.77848121
3-XFB001.00	67.37891884
3-XGR000.95	84.8
3-XHU000.04	47.88
4AACC001.75	45.18158508
4AATD003.36	66.56
4ABAN002.67	56.6524971
4ABAN022.24	74.44396735
4ABAN026.65	63.25238824
4ABAR001.74	61.29924719
4ABAU011.17_2004	51.35508817
4ABAU011.17_2011	38.83
4ABAU011.17_2013	36.2
4ABCE000.87	40.09
4ABDA011.79	57.49415027
4ABDB004.35	50.46
4ABEE001.20	41.05506572
4ABLG001.95	85.4
4ABNN002.17_2012	45.98
4ABNN002.17_2014	54.41
4ABOE005.27	52.44
4ABOR019.84	44.81942901
4ABOR033.22	71.10062616
4ABOS000.13	48.0320781
4ABST009.45	62.26
4ABST014.94	49.42543261
4ABTF003.11	60.52347077
4ABVE002.18	66.70494755
4ABWA008.53	35.43285115
4ABWB000.32	39.73721623
4ABWR029.51	55.61969315
4ABWR045.01	66.205
4ACEC000.82	66.56153902
4ACEC001.24	77.8725016
4ACLB001.90	45.215
4ACNT003.84	67.61191569
4ACNT022.05	59.66
4ACOX007.73	50.755
4ACTO001.01	65.80722055
4ADAN183.06	80.21793463
4ADAN199.71	76.82
4ADBC000.13	52.85
4ADEV000.64	60.03
4AEIS002.07	71.98403131
4AEKH003.18	59.61277
4AFAL006.61	43.77
4AFRV017.85	62.68
4AFRY006.08	37.75688091
4AFSF004.02	62.42
4AGEO006.26	55.855
4AGIL008.56	66.69504659
4AGSE015.07	73.12
4AGSH001.28	47.935
4AHEN004.74	51.11354906
4AHLL000.45	54.725
4AHRN007.65	54.80744298
4AIVV002.00	72.17
4ALBT003.07	74.31538247
4ALNT001.00	65.83112864
4ALOR007.20	52.70124881
4ALOR008.93	38.05
4ALPP004.52	56.09
4ALWF007.13	65.29426122
4AMBY001.33	46.83719546
4AMCG000.56	51.35451172
4AMEE017.24	52.37
4AMEY006.72	55.24
4AMFK000.52	73.655
4AMSP000.96	65.61
4AORR002.63	59.90618474
4AOWC004.37	69.24890639
4APAA000.24	55.16331702
4APGG011.14	68.405
4APGG025.20	73.71
4APGG042.21	71.105
4APGG063.32	63.205
4APGG076.93	50.51
4APOP000.10	54.71
4ARAB003.64	57.3
4ARKN003.68	78.26421935
4ARNF009.01	63.27695732
4ARNF015.22	63.845
4ARNF015.50	56.65324608
4AROA202.20	62.8926753
4AROA210.56	61.235
4AROA221.95	67.41847246
4AROC006.55	70.57
4AROC010.68	43.16481917
4ARSF007.07	60.68537192
4ARSF007.29	74.455
4ASCB005.38	76.06652142
4ASCE007.71	68.71
4ASCR003.33	58.49031861
4ASDA004.94	51.71
4ASDE002.18	44.04
4ASDE002.65	55.54140865
4ASMR002.77	75.89
4ASMR017.72	68.83749602
4ASMR023.52	73.4417308
4ASNA002.84	69.555
4ASNF007.64	54.45115025
4ASRE020.75	39.42359798
4ASRE063.69_2012	79.74
4ASRE063.69_2014	75.83
4ASRV012.19	65.34361747
4ASSP000.64	55.88
4ASSP004.06	65.935
4ATKR010.54	62.26170939
4ATKR015.40	59.62179565
4ATRB000.97	62.29
4ATRD000.35	64.06
4AWEL000.59	52.615
4AWFE001.57	52.36
4AWLF001.20	51.41657511
4AWNN000.10	69.5558389
4AXMF001.46	46.30073155
4AXML000.56	23.25096615
4AXMU001.98	77.46
4AXMV000.63	54.5657164
4AXMW001.48	60.06
4AXMX003.62	68.81
4AXMY000.22	75.34
4AXNA001.18	61.79712736
4AXNC000.10	71.97
4AXOD000.38	65.14
4AXOE001.26	79.615
4AXOF001.26	74.15
4AXOH000.06	72.54
4AXOL000.94_2012	50.03
4AXOL000.94_2014	61.22
4AXSP001.93	72.025
4AXUO000.49	69.99343681
4AXUP000.06	47.06767709
4AXUS000.65	70.05
4AXUY000.58	34.175
4AXVK001.44	39.74
4AXVL000.82	55.75
4AXVN001.55	61.2191608
4AXVO000.50	38.46
4AXVP000.20	66.55
4AXVQ000.77	24.08
4AXVV000.54	58.53
4BBIR002.57	76.26
4BELK000.96	74.195
4BLOV008.45	50.52330462
4BLOV017.16	71.74285532
5AALN001.50	67.36
5AAPW001.04	45.90993294
5ABKH005.16	40.37873389
5ABLC000.88	51.2091701
5ABLW038.69	54.39209766
5ABLW052.91	49.34825085
5ABLW055.26	57.679058
5ABTR000.76	63.19316875
5ABVC003.15	69.2
5AFNY004.78	18.105
5AFON016.90	55.52545236
5AFON024.32	73.46930983
5AFRC011.93	36.39
5AHRA005.94	78.39
5AKIT002.65_2004	31.85731176
5AKIT002.65_2011	34.74
5AKIT002.65_2013	46.68
5ALTG001.50	42.31021127
5ALTL001.38	57.47
5AMHN082.76	70.83947643
5AMHN097.83	63.12
5AMHN104.12	52.255
5AMHN105.36	56.04609727
5AMLL000.03	44.465
5AMRS002.93	62.92
5AMSA001.80	33.98726834
5ANMR007.11	73.63717354
5ANMR029.33	59.89132007
5ANTW016.37	71.20767668
5ANTW020.23	63.54704239
5ANTW045.12	72.29013084
5ANTW051.60	86.0234306
5ANTW054.10	80.85
5ANTW058.88	77.59157117
