name,oldpopPCT_VSCIat60,newpopPCT_VSCIat60,absdiff,,,,name,oldpopPCT_VSCIat60,newpopPCT_VSCIat60,absdiff
estimateBioPanelPhase1,49.11137139,47.70633668,1.405034709,,,,estimateCoastBioregion,69.77145077,69.80669926,0.03524849
estimateBioPanelPhase2,41.83535453,41.74759505,0.087759483,,,,estimatePhase2Large,17.16355404,17.19590134,0.032347295
estimateBioPanelPhase3,44.34124059,45.01305405,0.671813465,,,,estimateShenandoah,54.86602182,54.83483818,0.031183642
estimateBioPanelPhase4,46.32340668,45.84709999,0.476306691,,,,estimateNew,37.35582683,37.33704985,0.018776985
estimateIR2008,46.16526586,45.30320075,0.862065103,,,,estimateBasin3,48.37908314,48.36309564,0.015987505
estimateIR2010,43.00472252,42.27070257,0.734019941,,,,estimateMedium,48.37908314,48.36309564,0.015987505
estimateIR2012,40.58949772,40.4927927,0.096705026,,,,estimatePotomac,48.79468074,48.81041432,0.015733575
estimateIR2014,43.97126486,44.39754297,0.426278108,,,,estimateNorthernPiedmont,46.40660736,46.39131438,0.015292975
estimateIR2016,45.43922992,44.87572128,0.563508638,,,,estimateBRM,15.20336767,15.21810535,0.014737685
estimateIR2018,47.56856814,47.22105913,0.34750901,,,,estimatePiedmontBioregion,51.58114023,51.56733064,0.013809597
estimateSmall,47.63160141,47.52425066,0.107350746,,,,estimatePiedmont,52.99938894,52.98636404,0.013024907
estimateMedium,48.37908314,48.36309564,0.015987505,,,,estimateCARV,29.00783308,29.02026432,0.012431241
estimateLarge,22.33084102,22.47670253,0.145861514,,,,estimatePotomacShenandoah,51.01831327,51.01695744,0.001355827
estimatePhase1Small,47.35982348,46.61035457,0.749468914,,,,estimateHolston,6.435214838,6.433982128,0.00123271
estimatePhase2Small,47.94528734,47.61547304,0.329814294,,,,estimateBay,43.2352318,43.23542875,0.000196955
estimatePhase1Medium,52.25545882,51.63931046,0.616148356,,,,estimateBasin1,43.83459127,43.83447981,0.000111458
estimatePhase2Medium,45.19459715,45.14223543,0.052361715,,,,estimateRoanoke,45.23094371,45.23083406,0.000109649
estimatePhase1Large,25.00029499,25.40617302,0.405878034,,,,estimateSecondOrder,45.95300261,45.95300261,0
estimatePhase2Large,17.16355404,17.19590134,0.032347295,,,,estimateFourthOrder,27.95275591,27.95275591,0
