"siteID","Year","Longitude-DD","Latitude-DD","finalweight_all","TN","TP","TDS","LRBS","TotHab","VSCIVCPMI","MetalCCU","VSCIstatus","TotHabstatus","TNstatus","TPstatus","TDSstatus","MetalCCUstatus","LRBSstatus"
"5AMHN105.36",2001,-78.163359,36.79956,11.4655761589404,0.25,0.02,79,NA,85,56.04609727,NA,NA,"Poor","Good","Good","Good",NA,NA
"5ANTW045.12",2001,-77.190038,36.866562,8.19505,0.15,0.02,66,NA,128,72.29013084,NA,"Good",NA,"Good","Good","Good",NA,NA
"5AXEH001.35",2001,-77.818363,36.752794,218.379530916844,NA,NA,NA,NA,173,73.07890664,NA,"Good","Good",NA,NA,NA,NA,NA
"5AXEI000.27",2001,-78.428103,36.872945,218.379530916844,NA,NA,NA,NA,150,54.73740243,NA,NA,NA,NA,NA,NA,NA,NA
"5AXEJ001.73",2001,-77.526187,36.834681,218.379530916844,0.25,0.02,84,NA,158,41.24848132,NA,"Poor","Good","Good","Good","Good",NA,NA
"6APNS003.94",2001,-82.638392,37.091786,37.956487804878,1.02,0.01,1711,NA,118.5,40.26554832,NA,"Poor","Poor",NA,"Good","Poor",NA,NA
"6AXBF000.40",2001,-82.243635,37.266634,218.379530916844,0.21,0.01,231,NA,125.5,38.32167978,NA,"Poor",NA,"Good","Good",NA,NA,NA
"6BDUM000.23",2001,-82.194017,36.937047,37.956487804878,0.17,0.02,634,NA,106,41.75156559,NA,"Poor","Poor","Good","Good","Poor",NA,NA
"6BLWS003.88",2001,-81.964572,37.02273,37.956487804878,0.44,0.02,287,NA,106.5,55.33387105,NA,NA,"Poor","Good","Good",NA,NA,NA
"6BPOW156.57",2001,-83.007301,36.730419,11.4655761589404,0.3,0.02,394,NA,131,53.89101788,NA,NA,NA,"Good","Good","Poor",NA,NA
"6BXDJ000.15",2001,-82.444894,36.806187,218.379530916844,0.62,0.01,185,NA,157,62.04949308,NA,"Good","Good","Good","Good",NA,NA,NA
"6CSLM002.11",2001,-81.407864,36.809949,218.379530916844,0.25,0.01,93,NA,127,63.5392102,NA,"Good",NA,"Good","Good","Good",NA,NA
"8-BRC002.70",2001,-78.048833,38.166022,218.379530916844,0.39,0.03,41,NA,190.5,74.005,NA,"Good","Good","Good",NA,"Good",NA,NA
"8-XEA000.12",2001,-76.612148,37.422171,218.379530916844,0.26,0.07,187,NA,156,44.37750778,NA,"Poor","Good","Good","Poor",NA,NA,NA
"9-LIC004.73",2001,-80.538003,36.938597,218.379530916844,0.65,0.02,291,NA,164.5,65.98318,NA,"Good","Good","Good","Good",NA,NA,NA
