Basin,Habitat,LRBS,TP,TN,TDS,MCCU,VSCIVCPMI
Rappahannock,1,2,1,1,3,1,1
Chowan,1,1,1,2,3,1,1
York,2,2,1,3,3,1,2
James,3,3,3,3,3,2,4
Shenandoah,4,3,2,1,2,2,2
Roanoke,2,1,2,4,3,2,3
Potomac,3,4,2,1,1,2,2
New,3,1,3,2,2,2,3
Holston,3,2,3,2,2,2,4
Clinch-Powell,2,4,4,3,1,2,3
Big Sandy,2,3,4,4,1,2,1
